,loss
0,0.0038773133
1,1.0979108
2,0.16579887
3,0.04817242
4,0.025955116
5,0.0066909133
6,0.0005960824
7,0.013410513
8,0.013291469
9,0.0047752312
10,0.00025046823
11,0.00050338224
12,0.0018901674
13,0.0028994074
14,0.0032086347
15,0.0029115423
16,0.00222121
17,0.0013658273
18,0.00070038246
19,0.001518203
20,0.00015451058
21,2.1859598
22,0.00044742803
23,0.0025128075
24,0.0058278795
25,0.18145177
26,0.19366957
27,0.018657852
28,0.018050136
29,0.014243519
30,0.007925546
31,0.0018038715
32,0.00027024862
33,0.0049024755
34,0.00806087
35,0.0056702676
36,0.11869033
37,0.00014313069
38,0.0029898519
39,0.006195563
40,0.006683019
41,0.0045777014
42,0.001861912
43,0.00023502154
44,0.000117790725
45,0.44396406
46,0.0014437849
47,0.0014329335
48,0.0009530481
49,0.00032882
50,1.1309942
51,0.0009928548
52,0.0025505263
53,0.003640278
54,0.004101124
55,44.226406
56,0.18330939
57,0.00034336676
58,1.3635574e-05
59,5.22195e-05
60,0.00022460197
61,0.00045243683
62,0.0006840515
63,15.052063
64,0.24043317
65,0.00031167362
66,2.059341
67,0.8182801
68,0.0020137422
69,0.048472643
70,0.12129222
71,0.28963673
72,2.0336099
73,0.0117329825
74,0.013832626
75,1.9885021
76,0.01683691
77,0.017632537
78,45.922756
79,0.022235805
80,0.026441704
81,0.028966388
82,1.644528
83,0.08642245
84,0.046196505
85,0.0493389
86,0.047529746
87,1.6515152
88,0.627627
89,0.14155401
90,0.07335586
91,3.1685388
92,0.006676777
93,0.00047257627
94,1.8045328
95,0.0028686416
96,5.608329
97,0.006498117
98,0.0067159226
99,1.8760655
100,2.2777388
101,0.101323746
102,1.387448
103,0.001985268
104,0.11583103
105,1.3602186e-05
106,0.00025314576
107,0.0011119483
108,0.05592973
109,3.0717113
110,1.4888796
111,0.013341444
112,0.021096265
113,1.6351702
114,0.03871945
115,2.4739182
116,0.106045604
117,0.06972219
118,0.066704325
119,0.054166727
120,0.036707185
121,1.102309
122,0.0060465713
123,0.0002997611
124,0.0014061071
125,0.1483997
126,0.5642756
127,0.024216218
128,0.43708143
129,1.9906552
130,1.6572859
131,0.011408792
132,0.0032260357
133,0.009420427
134,0.0026690424
135,1.4060097
136,0.40082964
137,0.14636905
138,0.036891498
139,1.7863783
140,1.4206854
141,0.010739332
142,0.095365316
143,0.050112247
144,0.28305668
145,0.059796013
146,0.2335258
147,0.0026466849
148,1.5618575
149,0.28962937
150,0.00547378
151,0.36051068
152,0.983183
153,0.10887545
154,1.5151514
155,1.0521541
156,0.010873447
157,0.8205625
158,0.0903226
159,0.9088976
160,0.019138455
161,1.4865835
162,0.01950955
163,0.19367549
164,0.42424947
165,0.0019867497
166,0.00014924617
167,3.7943912
168,0.015067984
169,0.037175585
170,0.023958197
171,0.0042783394
172,2.6482676e-05
173,0.5659874
174,0.007988832
175,0.22530642
176,72.69051
177,0.0676
178,0.19940302
179,0.56143105
180,1.6826818
181,1.735425
182,0.27601624
183,2.4479473
184,0.32883072
185,0.64696014
186,0.9615722
187,3.1332028
188,0.6081853
189,1.3152673
190,0.95398724
191,0.021915518
192,0.58857185
193,6.335012
194,0.68995893
195,2.835811
196,5.885916
197,0.0026221739
198,1.3009146
199,0.017196942
200,0.48908585
201,0.42468578
202,0.47135764
203,0.28170466
204,7.3124175
205,0.32242036
206,0.31624743
207,0.20465639
208,0.19587702
209,0.24627021
210,0.30699244
211,0.048158675
212,0.14112523
213,0.34499812
214,0.28615075
215,0.29575005
216,0.11524744
217,0.0491888
218,0.078244165
219,0.29966635
220,0.04887033
221,0.18160386
222,0.0007496086
223,0.08724432
224,0.20618597
225,0.15640342
226,0.04023266
227,0.100026585
228,1334.5913
229,0.19033256
230,0.22403438
231,0.040858086
232,0.063277334
233,0.044434886
234,0.04359739
235,0.22567096
236,0.03741141
237,99.29473
238,0.033118106
239,0.12260489
240,0.08901275
241,0.013317384
242,0.053152315
243,0.043000348
244,0.0023119063
245,0.1438742
246,3.4203525
247,0.0045883814
248,0.042578466
249,0.0057993773
250,0.12901011
251,0.0026721428
252,0.06802204
253,0.024356144
254,0.2829609
255,0.17311858
256,0.03992004
257,0.005089676
258,0.36874932
259,0.010029876
260,0.16413446
261,0.03631814
262,0.0030240975
263,1.1419518
264,5.681264
265,0.1454576
266,0.012099695
267,0.003967422
268,0.056094218
269,0.052694052
270,0.0004857326
271,0.61844766
272,0.090240315
273,0.028337399
274,0.0029979446
275,0.14374515
276,0.21081659
277,0.00012712975
278,0.2583767
279,0.050697893
280,0.019473212
