sysTime,Action,ChannelUsed,TransJob,CPU,JobFaultProb,RunningJob,ActionQos
170,7,-3.552713678800501e-15,0,0.175,0.24,1,0.0
290,7,-3.552713678800501e-15,0,0.025,0.3111111111111111,1,1.9998146311711043
410,7,-3.552713678800501e-15,0,0.075,0.225,1,1.99958811592774
530,7,-3.552713678800501e-15,0,0.075,1,1,1.9993050440235072
660,7,-3.552713678800501e-15,0,0.075,1,1,1.9993050440235072
790,7,-3.552713678800501e-15,0,0.025,1,1,1.9993050440235072
910,7,-3.552713678800501e-15,0,0.075,1,1,1.99958811592774
1040,7,-3.552713678800501e-15,0,0.025,1,1,1.9993050440235072
1150,7,-3.552713678800501e-15,0,0.075,1,1,1.99958811592774
1290,7,-3.552713678800501e-15,0,0.175,1,1,1.9993050440235072
1410,7,-3.552713678800501e-15,0,0.025,1,1,1.9998146311711043
1530,7,-3.552713678800501e-15,0,0.075,1,1,1.99958811592774
