sysTime,Action,ChannelUsed,TransJob,CPU,JobFaultProb,RunningJob,ActionQos
130,748,-1.7763568394002505e-15,0,0.05,0.0,1,0.0
250,487,27.500704749987,4,0.01875,0.1,1,7.688536649502835
370,877,-1.0658141036401503e-14,0,0.05,1,1,7.98889228343713
500,320,-1.0658141036401503e-14,0,0.01875,1,1,7.680094851076123
620,465,-1.0658141036401503e-14,0,0.01875,1,1,7.92407306765325
740,469,-1.0658141036401503e-14,0,0.01875,1,1,7.916891298550878
870,756,-8.881784197001252e-15,0,0.05,1,1,7.987865405492948
990,33,-7.105427357601002e-15,0,0.01875,1,1,7.688536649502835
1110,584,-7.105427357601002e-15,0,0.05,1,1,7.988549837581979
1230,250,-8.881784197001252e-15,0,0.01875,1,1,7.7139869457956305
1360,1015,11.54772174199358,2,0.01875,1,1,7.91450207167249
1480,569,-8.881784197001252e-15,0,0.05,1,1,7.986839459001496
1600,576,13.151720291689681,1,0.01875,1,1,7.696998697462788
1730,287,-1.0658141036401503e-14,0,0.01875,1,1,7.9882075595763355
1850,357,8.496250072115611,1,0.05,1,1,7.987865405492948
1970,68,-8.881784197001252e-15,0,0.01875,1,1,7.680094851076123
2100,592,11.119621066822393,1,0.01875,1,1,7.989234973283195
2220,148,-1.0658141036401503e-14,0,0.01875,1,1,7.9882075595763355
2340,760,-1.0658141036401503e-14,0,0.05,1,1,7.98889228343713
2460,985,6.875176187496742,1,0.01875,1,1,7.688536649502835
2590,563,-1.0658141036401503e-14,0,0.05,1,1,7.912114757302063
2710,73,-8.881784197001252e-15,0,0.05,1,1,7.696998697462788
2830,257,-8.881784197001252e-15,0,0.01875,1,1,7.705481739987774
2960,964,-1.0658141036401503e-14,0,0.01875,1,1,7.988549837581979
3080,303,-1.0658141036401503e-14,0,0.01875,1,1,7.9882075595763355
3200,430,15.200309344505,2,0.05,1,1,7.987865405492948
3330,25,-1.0658141036401503e-14,0,0.01875,1,1,7.705481739987774
3450,679,22.800464016757505,3,0.01875,1,1,7.987865405492948
3570,479,-8.881784197001252e-15,0,0.01875,1,1,7.98889228343713
3690,77,-8.881784197001252e-15,0,0.01875,1,1,7.909729230235288
3820,682,-1.0658141036401503e-14,0,0.01875,0.8,1,7.988549837581979
3940,659,-1.0658141036401503e-14,0,0.01875,0.8,1,7.916891298550878
4060,440,-8.881784197001252e-15,0,0.01875,0.8,1,7.916891298550878
4190,95,-8.881784197001252e-15,0,0.01875,0.8,1,7.916891298550878
4310,365,-8.881784197001252e-15,0,0.01875,0.8,1,7.987865405492948
4430,919,-8.881784197001252e-15,0,0.05,0.8,1,7.987865405492948
4550,670,22.800464016757502,3,0.01875,0.8,1,7.680094851076123
4680,688,-1.0658141036401503e-14,0,0.01875,0.8,1,7.921676374094864
4800,981,20.62552856249025,3,0.01875,1,1,7.919282629542583
4920,937,-8.881784197001252e-15,0,0.05,1,1,7.916891298550878
5050,901,25.488750216346855,3,0.01875,1,1,7.688536649502835
5170,78,-1.0658141036401503e-14,0,0.01875,1,1,7.9882075595763355
5290,582,-7.105427357601002e-15,0,0.01875,1,1,7.988549837581979
5420,1000,-7.105427357601002e-15,0,0.05,1,1,7.988549837581979
5540,957,-8.881784197001252e-15,0,0.01875,1,1,7.688536649502835
5660,294,-8.881784197001252e-15,0,0.01875,1,1,7.909729230235288
5780,464,-1.0658141036401503e-14,0,0.01875,1,1,7.988549837581979
5910,103,-1.0658141036401503e-14,0,0.01875,1,1,7.919282629542583
6030,451,-1.0658141036401503e-14,0,0.01875,1,1,7.9882075595763355
6150,366,7.600154672252494,1,0.01875,1,1,7.916891298550878
6280,854,-1.0658141036401503e-14,0,0.05,1,1,7.988549837581979
6400,796,16.99250014423123,2,0.05,1,1,7.688536649502835
6520,602,-1.0658141036401503e-14,0,0.05,1,1,7.680094851076123
6650,753,15.200309344505,2,0.01875,0.2,1,7.696998697462788
6770,982,-8.881784197001252e-15,0,0.05,0.2,1,7.987865405492948
6890,985,-1.0658141036401503e-14,0,0.05,0.2,1,7.680094851076123
7010,576,-1.0658141036401503e-14,0,0.05,0.2,1,7.680094851076123
