No,Uid,Jid,offloadtime,commutime,runtime,energy,AoI,state
0,9,41,0.14,0.00514393541519188,0.1,0.010333388814767142,0.03,CP
1,5,89,0.28,0.00615355643062707,0.06,0.026465780682647665,0.02,CP
2,1,134,0.43,0.004320000000000001,0.02,0.03893615999999999,0.01,CP
3,1,147,0.57,0.006480000000000002,0.02,0.041718240000000004,0.01,CP
4,1,160,0.71,0.006480000000000002,0.02,0.041718240000000004,0.01,CP
5,1,175,0.86,0.006480000000000002,0.02,0.041718240000000004,0.01,CP
6,5,155,1.0,0.0036000000000000016,0.06,0.023176800000000008,0.02,CP
7,1,199,1.14,0.006480000000000002,0.02,0.041718240000000004,0.01,CP
8,1,212,1.29,0.006480000000000002,0.02,0.041718240000000004,0.01,CP
9,1,223,1.43,0.006480000000000002,0.02,0.041718240000000004,0.01,CP
10,1,238,1.58,0.006480000000000002,0.02,0.041718240000000004,0.01,CP
11,1,251,1.72,0.006480000000000002,0.02,0.041718240000000004,0.01,CP
12,1,264,1.85,0.006480000000000002,0.02,0.041718240000000004,0.02,CP
13,5,235,1.86,0.0024000000000000007,0.06,0.021631199999999996,0.17,CP
14,1,265,1.86,0.006480000000000002,0.02,0.041718240000000004,0.3,CP
15,5,236,1.87,0.003085714285714287,0.06,0.022514400000000004,0.44,CP
16,1,266,1.87,0.008331428571428575,0.02,0.04410288000000001,0.58,CP
17,5,237,1.88,0.0069428571428571464,0.06,0.027482400000000008,0.72,CP
18,1,267,1.88,0.0187457142857143,0.02,0.057516480000000016,0.85,CP
19,5,238,1.89,0.015621428571428588,0.06,0.03866040000000002,1.0,CP
20,5,241,2.04,0.010181999904203858,0.06,0.03165441587661457,0.99,CP
21,1,274,2.2,0.016092004583643505,0.02,0.05409850190373283,0.97,CP
22,5,245,2.2,0.013410003819702919,0.06,0.03581208491977736,1.12,CP
23,5,249,2.3,0.013092271677215104,0.06,0.03540284592025306,1.16,CP
24,5,252,2.46,0.018275999141454866,0.06,0.042079486894193864,1.15,CP
25,1,270,2.04,0.027491399741350425,0.02,0.06878092286685934,1.7,CP
26,5,242,2.05,0.02290949978445869,0.06,0.04804743572238279,1.84,CP
27,5,246,2.21,0.020115005729554384,0.06,0.044448127379666046,1.83,CP
28,5,250,2.32,0.029457611273733964,0.06,0.05648140332056934,1.86,CP
29,5,239,1.9,0.03514821428571433,0.06,0.06381090000000006,2.43,CP
30,1,278,2.3,0.03534913352848078,0.02,0.07890168398468324,2.16,CP
31,5,255,2.61,0.027165818282207474,0.06,0.05352957394748323,2.0,CP
32,5,260,2.9,0.027393493659184642,0.06,0.05382281983302982,1.86,CP
33,5,262,3.04,0.022473695362776432,0.06,0.047486119627256046,1.86,CP
34,1,268,1.89,0.04217785714285717,0.02,0.08769708000000004,3.14,CP
35,5,247,2.22,0.045258762891497384,0.06,0.07683328660424864,2.97,CP
36,1,281,2.46,0.04934519768192817,0.02,0.09692861461432348,2.86,CP
37,5,253,2.47,0.041120998068273476,0.06,0.07150384551193624,3.0,CP
38,5,257,2.75,0.0349534093279503,0.06,0.06355999121439998,2.87,CP
39,5,265,3.19,0.03476631272304487,0.06,0.06331901078728179,2.57,CP
40,5,267,3.33,0.0321109887795225,0.06,0.059898953548024984,2.58,CP
41,5,243,2.06,0.051546374515032134,0.06,0.08493173037536139,3.99,CP
42,1,275,2.21,0.05431051546979681,0.02,0.10332394392509829,3.97,CP
43,5,269,3.47,0.04099980391529461,0.06,0.07134774744289946,2.87,CP
44,5,271,3.61,0.03753351325718994,0.06,0.06688316507526064,2.87,CP
45,1,271,2.05,0.061855649418038505,0.02,0.1130420764504336,4.56,CP
46,5,251,2.33,0.06627962536590151,0.06,0.10390815747128115,4.44,CP
47,5,258,2.76,0.052430113991925445,0.06,0.08606998682159997,4.15,CP
48,5,275,3.89,0.048816172924960176,0.06,0.0814152307273487,3.16,CP
49,5,240,1.91,0.0790834821428572,0.06,0.12039952500000006,5.29,CP
50,1,279,2.32,0.0795355504390817,0.02,0.13581378896553722,5.01,CP
51,5,256,2.62,0.06112309113496681,0.06,0.09726654138183725,4.87,CP
52,5,261,2.91,0.06163536073316549,0.06,0.09792634462431715,4.72,CP
53,1,290,3.04,0.06067897747949636,0.02,0.11152652299359132,4.72,CP
54,5,279,4.36,0.04128309613319152,0.06,0.07171262781955068,3.56,CP
55,5,284,4.77,0.04447162879518444,0.06,0.07581945788819756,3.29,CP
56,1,284,2.61,0.07334770936196018,0.02,0.12784384965820472,5.58,CP
57,1,288,2.9,0.07396243287979859,0.02,0.12863561354918057,5.44,CP
58,5,263,3.05,0.07584872184937026,0.06,0.11623315374198889,5.44,CP
59,5,266,3.2,0.07822420362685101,0.06,0.11929277427138411,5.44,CP
60,5,268,3.34,0.07224972475392566,0.06,0.11159764548305624,5.44,CP
61,5,277,4.03,0.06509519406777127,0.06,0.1023826099592894,4.89,CP
62,5,281,4.5,0.05863345400480116,0.06,0.0940598887581839,4.57,CP
