No,Uid,Jid,offloadtime,commutime,runtime,energy,AoI,state
0,0,8,0.14,0.004800000000000001,0.01,0.04326239999999999,0.01,CP
1,4,9,0.27,0.002880000000000001,0.05,0.02595744,0.03,CP
2,4,11,0.41,0.002880000000000001,0.05,0.02595744,0.04,CP
3,4,21,0.57,0.002880000000000001,0.05,0.02595744,0.02,CP
4,4,34,0.71,0.002880000000000001,0.05,0.02595744,0.02,CP
5,4,48,0.86,0.002880000000000001,0.05,0.02595744,0.02,CP
6,4,60,0.99,0.002880000000000001,0.05,0.02595744,0.03,CP
7,4,73,1.14,0.002880000000000001,0.05,0.02595744,0.02,CP
8,4,74,1.15,0.002880000000000001,0.05,0.02595744,0.16,CP
9,0,28,1.43,0.007200000000000003,0.01,0.046353600000000016,0.01,CP
10,0,43,1.58,0.007200000000000003,0.01,0.046353600000000016,0.01,CP
11,0,55,1.72,0.007200000000000003,0.01,0.046353600000000016,0.01,CP
12,0,69,1.86,0.007200000000000003,0.01,0.046353600000000016,0.01,CP
13,0,83,2.01,0.007200000000000003,0.01,0.046353600000000016,0.01,CP
14,0,97,2.15,0.007200000000000003,0.01,0.046353600000000016,0.01,CP
15,0,110,2.29,0.007200000000000003,0.01,0.046353600000000016,0.01,CP
16,0,124,2.44,0.007200000000000003,0.01,0.046353600000000016,0.01,CP
17,0,137,2.58,0.007200000000000003,0.01,0.046353600000000016,0.01,CP
18,0,150,2.72,0.007200000000000003,0.01,0.046353600000000016,0.01,CP
19,0,165,2.87,0.007200000000000003,0.01,0.046353600000000016,0.01,CP
20,0,178,3.01,0.007200000000000003,0.01,0.046353600000000016,0.01,CP
21,0,193,3.16,0.007200000000000003,0.01,0.046353600000000016,0.01,CP
22,4,267,3.3,0.002880000000000001,0.05,0.02595744,0.02,CP
23,0,218,3.44,0.007200000000000003,0.01,0.046353600000000016,0.01,CP
24,0,223,3.49,0.007200000000000003,0.01,0.046353600000000016,0.11,CP
25,0,224,3.5,0.004800000000000001,0.01,0.04326239999999999,0.24,CP
26,4,287,3.51,0.004320000000000001,0.05,0.027812160000000002,0.38,CP
27,4,288,3.61,0.0037028571428571445,0.05,0.027017280000000005,0.43,CP
28,4,289,3.74,0.0038880000000000013,0.05,0.027255744000000002,0.44,CP
29,0,225,3.74,0.009720000000000005,0.01,0.04959936000000001,0.58,CP
30,4,290,3.76,0.008748000000000004,0.05,0.03351542400000001,0.71,CP
31,4,292,3.88,0.008880939996866684,0.05,0.03368665071596429,0.73,CP
32,4,297,4.38,0.007337143716587776,0.05,0.03169824110696505,0.38,CP
33,4,298,4.66,0.005752866629603249,0.05,0.029657692218928982,0.24,CP
34,4,291,3.84,0.019683,0.05,0.047599704,1.2,CP
35,4,293,3.94,0.019982114992950037,0.05,0.047984964110919646,1.25,CP
36,4,296,4.04,0.010831403650093439,0.05,0.03619884790132035,1.29,CP
37,0,232,4.66,0.01438216657400812,0.01,0.05560423054732246,0.8,CP
38,4,299,4.72,0.012943949916607305,0.05,0.03891980749259021,0.9,CP
39,4,300,4.76,0.010836795279020078,0.05,0.036205792319377865,1.0,CP
40,0,226,3.76,0.02187000000000001,0.01,0.06524856000000001,2.14,CP
41,0,228,3.88,0.02220234999216671,0.01,0.06567662678991072,2.16,CP
42,0,231,4.04,0.027078509125233602,0.01,0.07195711975330088,2.14,CP
43,0,234,4.76,0.02709198819755019,0.01,0.07197448079844465,1.57,CP
44,4,301,4.81,0.02438278937779517,0.05,0.053653032718600176,1.67,CP
45,4,306,5.36,0.01730138537552146,0.05,0.04453218436367164,1.26,CP
46,4,307,5.68,0.012165475110135585,0.05,0.03791713194185463,1.09,CP
47,0,233,4.72,0.032359874791518264,0.01,0.07875951873147553,2.18,CP
48,4,308,5.87,0.016145727459857567,0.05,0.043043696968296546,1.18,CP
49,4,309,6.03,0.019029699054365926,0.05,0.04675825238202331,1.17,CP
50,0,227,3.84,0.04920750000000003,0.01,0.10045926000000005,3.49,CP
51,0,229,3.94,0.04995528748237512,0.01,0.10142241027729916,3.54,CP
52,4,294,3.96,0.04495975873413758,0.05,0.0801561692495692,3.67,CP
53,4,304,5.04,0.03595978621664478,0.05,0.06856420464703848,2.73,CP
54,0,239,5.2,0.03863910207226785,0.01,0.086847163469081,2.71,CP
55,4,305,5.2,0.034775191865041084,0.05,0.06703844712217291,2.86,CP
56,0,241,5.68,0.030413687775338975,0.01,0.0762528298546366,2.51,CP
57,4,311,6.38,0.021197147650174025,0.05,0.04954992617342415,1.97,CP
58,4,314,6.99,0.012373393093405355,0.05,0.03818493030430609,1.5,CP
59,4,315,7.05,0.01871402944371644,0.05,0.04635166992350677,1.59,CP
60,4,302,4.86,0.05486127610003911,0.05,0.09290932361685038,3.92,CP
61,0,240,5.36,0.04325346343880367,0.01,0.09279046090917914,3.55,CP
62,0,244,6.1,0.03798949184926114,0.01,0.08601046550184835,2.96,CP
63,4,310,6.15,0.03419054266433501,0.05,0.0662854189516635,3.06,CP
