No,Uid,Jid,offloadtime,commutime,runtime,energy,AoI,state
0,9,4,0.1,0.0007194489768963071,0.1,0.0046346502822424435,0.07,CP
1,8,12,0.2,0.0014388979537926143,0.09,0.009269300564484887,0.09,CP
2,7,20,0.3,0.002158346930688922,0.08,0.013903950846727336,0.11,CP
3,7,16,0.25,0.002158346930688922,0.08,0.013903950846727336,0.28,CP
4,7,12,0.2,0.002158346930688922,0.08,0.013903950846727336,0.46,CP
5,8,8,0.15,0.0014388979537926143,0.09,0.009269300564484887,0.64,CP
6,7,8,0.15,0.002158346930688922,0.08,0.013903950846727336,0.76,CP
7,8,4,0.1,0.0014388979537926143,0.09,0.009269300564484887,0.94,CP
8,7,4,0.1,0.002158346930688922,0.08,0.013903950846727336,1.05,CP
9,9,0,0.05,0.0007194489768963071,0.1,0.0046346502822424435,1.24,CP
10,8,0,0.05,0.0014388979537926143,0.09,0.009269300564484887,1.36,CP
11,7,0,0.05,0.002158346930688922,0.08,0.013903950846727336,1.48,CP
12,9,4,0.1,0.0007194489768963071,0.1,0.0046346502822424435,0.07,CP
13,8,12,0.2,0.0014388979537926143,0.09,0.009269300564484887,0.09,CP
14,7,20,0.3,0.002158346930688922,0.08,0.013903950846727336,0.11,CP
15,7,16,0.25,0.002158346930688922,0.08,0.013903950846727336,0.28,CP
16,7,12,0.2,0.002158346930688922,0.08,0.013903950846727336,0.46,CP
17,8,8,0.15,0.0014388979537926143,0.09,0.009269300564484887,0.64,CP
18,7,8,0.15,0.002158346930688922,0.08,0.013903950846727336,0.76,CP
19,8,4,0.1,0.0014388979537926143,0.09,0.009269300564484887,0.94,CP
20,7,4,0.1,0.002158346930688922,0.08,0.013903950846727336,1.05,CP
21,9,0,0.05,0.0007194489768963071,0.1,0.0046346502822424435,1.24,CP
22,8,0,0.05,0.0014388979537926143,0.09,0.009269300564484887,1.36,CP
23,7,0,0.05,0.002158346930688922,0.08,0.013903950846727336,1.48,CP
24,9,4,0.1,0.0007194489768963071,0.1,0.0046346502822424435,0.07,CP
25,8,12,0.2,0.0014388979537926143,0.09,0.009269300564484887,0.09,CP
26,7,20,0.3,0.002158346930688922,0.08,0.013903950846727336,0.11,CP
27,7,16,0.25,0.002158346930688922,0.08,0.013903950846727336,0.28,CP
28,7,12,0.2,0.002158346930688922,0.08,0.013903950846727336,0.46,CP
29,8,8,0.15,0.0014388979537926143,0.09,0.009269300564484887,0.64,CP
30,7,8,0.15,0.002158346930688922,0.08,0.013903950846727336,0.76,CP
31,8,4,0.1,0.0014388979537926143,0.09,0.009269300564484887,0.94,CP
32,7,4,0.1,0.002158346930688922,0.08,0.013903950846727336,1.05,CP
33,9,0,0.05,0.0007194489768963071,0.1,0.0046346502822424435,1.24,CP
34,8,0,0.05,0.0014388979537926143,0.09,0.009269300564484887,1.36,CP
35,7,0,0.05,0.002158346930688922,0.08,0.013903950846727336,1.48,CP
36,9,4,0.1,0.0007194489768963071,0.1,0.0046346502822424435,0.07,CP
37,8,12,0.2,0.0014388979537926143,0.09,0.009269300564484887,0.09,CP
38,7,20,0.3,0.002158346930688922,0.08,0.013903950846727336,0.11,CP
39,7,16,0.25,0.002158346930688922,0.08,0.013903950846727336,0.28,CP
40,7,12,0.2,0.002158346930688922,0.08,0.013903950846727336,0.46,CP
41,8,8,0.15,0.0014388979537926143,0.09,0.009269300564484887,0.64,CP
42,7,8,0.15,0.002158346930688922,0.08,0.013903950846727336,0.76,CP
43,8,4,0.1,0.0014388979537926143,0.09,0.009269300564484887,0.94,CP
44,7,4,0.1,0.002158346930688922,0.08,0.013903950846727336,1.05,CP
45,9,0,0.05,0.0007194489768963071,0.1,0.0046346502822424435,1.24,CP
46,8,0,0.05,0.0014388979537926143,0.09,0.009269300564484887,1.36,CP
47,7,0,0.05,0.002158346930688922,0.08,0.013903950846727336,1.48,CP
48,9,4,0.1,0.0007194489768963071,0.1,0.0046346502822424435,0.07,CP
49,8,12,0.2,0.0014388979537926143,0.09,0.009269300564484887,0.09,CP
50,7,20,0.3,0.002158346930688922,0.08,0.013903950846727336,0.11,CP
51,7,16,0.25,0.002158346930688922,0.08,0.013903950846727336,0.28,CP
52,7,12,0.2,0.002158346930688922,0.08,0.013903950846727336,0.46,CP
53,8,8,0.15,0.0014388979537926143,0.09,0.009269300564484887,0.64,CP
54,7,8,0.15,0.002158346930688922,0.08,0.013903950846727336,0.76,CP
55,8,4,0.1,0.0014388979537926143,0.09,0.009269300564484887,0.94,CP
56,7,4,0.1,0.002158346930688922,0.08,0.013903950846727336,1.05,CP
57,9,0,0.05,0.0007194489768963071,0.1,0.0046346502822424435,1.24,CP
58,8,0,0.05,0.0014388979537926143,0.09,0.009269300564484887,1.36,CP
59,7,0,0.05,0.002158346930688922,0.08,0.013903950846727336,1.48,CP
60,9,4,0.1,0.0007194489768963071,0.1,0.0046346502822424435,0.07,CP
61,8,12,0.2,0.0014388979537926143,0.09,0.009269300564484887,0.09,CP
62,7,20,0.3,0.002158346930688922,0.08,0.013903950846727336,0.11,CP
63,7,16,0.25,0.002158346930688922,0.08,0.013903950846727336,0.28,CP
64,7,12,0.2,0.002158346930688922,0.08,0.013903950846727336,0.46,CP
65,8,8,0.15,0.0014388979537926143,0.09,0.009269300564484887,0.64,CP
66,7,8,0.15,0.002158346930688922,0.08,0.013903950846727336,0.76,CP
67,8,4,0.1,0.0014388979537926143,0.09,0.009269300564484887,0.94,CP
68,7,4,0.1,0.002158346930688922,0.08,0.013903950846727336,1.05,CP
69,9,0,0.05,0.0007194489768963071,0.1,0.0046346502822424435,1.24,CP
70,8,0,0.05,0.0014388979537926143,0.09,0.009269300564484887,1.36,CP
71,7,0,0.05,0.002158346930688922,0.08,0.013903950846727336,1.48,CP
