No,Uid,Jid,offloadtime,commutime,runtime,energy,AoI,state
0,1,1,0.1,0.010472458892172068,0.02,0.04686052705311763,0.03,CP
1,8,5,0.2,0.002105220313267386,0.09,0.010127523763488393,0.09,CP
2,3,13,0.35,0.00503614283827415,0.04,0.032442551975697106,0.04,CP
3,3,16,0.45,0.005813800238046565,0.04,0.03344417470660398,0.06,CP
4,3,18,0.55,0.006591143095445125,0.04,0.03444539230693332,0.09,CP
5,4,19,0.5,0.00564955122466725,0.05,0.029524621977371417,0.27,CP
6,3,21,0.85,0.00892210730465355,0.04,0.037447674208393775,0.04,CP
7,3,22,0.9,0.00736827109643585,0.04,0.035446333172209375,0.11,CP
8,1,8,1.1,0.008474326837000876,0.02,0.04428693296605713,0.02,CP
9,3,24,1.2,0.006591143095445125,0.04,0.03444539230693332,0.06,CP
10,3,26,1.35,0.006591143095445125,0.04,0.03444539230693332,0.03,CP
11,1,11,1.45,0.010472458892172068,0.02,0.04686052705311763,0.05,CP
12,3,29,1.6,0.00736827109643585,0.04,0.035446333172209375,0.03,CP
13,3,31,1.7,0.006591143095445125,0.04,0.03444539230693332,0.06,CP
14,1,16,1.85,0.007474886020345584,0.02,0.042999653194205116,0.02,CP
15,3,33,1.95,0.006591143095445125,0.04,0.03444539230693332,0.06,CP
16,3,35,2.05,0.00736827109643585,0.04,0.035446333172209375,0.08,CP
17,3,36,2.15,0.00736827109643585,0.04,0.035446333172209375,0.1,CP
18,1,20,2.35,0.007474886020345584,0.02,0.042999653194205116,0.02,CP
19,1,19,2.3,0.009473491409703235,0.02,0.045573856935697765,0.19,CP
20,3,39,2.6,0.00736827109643585,0.04,0.035446333172209375,0.03,CP
21,3,38,2.55,0.005813800238046565,0.04,0.03344417470660398,0.2,CP
22,1,22,2.75,0.009473491409703235,0.02,0.045573856935697765,0.12,CP
23,3,41,2.95,0.008145245805022718,0.04,0.03644707659686926,0.05,CP
24,1,26,3.1,0.010472458892172068,0.02,0.04686052705311763,0.02,CP
25,1,28,3.2,0.010472458892172068,0.02,0.04686052705311763,0.04,CP
26,3,47,3.3,0.005813800238046565,0.04,0.03344417470660398,0.07,CP
27,1,31,3.45,0.009473491409703235,0.02,0.045573856935697765,0.04,CP
28,1,34,3.6,0.009473491409703235,0.02,0.045573856935697765,0.01,CP
29,1,35,3.7,0.011471280820268848,0.02,0.04814700969650628,0.04,CP
30,3,50,3.8,0.00736827109643585,0.04,0.035446333172209375,0.07,CP
31,3,51,3.9,0.00503614283827415,0.04,0.032442551975697106,0.1,CP
32,1,38,4.0,0.010472458892172068,0.02,0.04686052705311763,0.11,CP
33,3,53,4.15,0.00736827109643585,0.04,0.035446333172209375,0.1,CP
34,1,39,4.3,0.007474886020345584,0.02,0.042999653194205116,0.06,CP
35,1,41,4.45,0.009473491409703235,0.02,0.045573856935697765,0.03,CP
36,3,57,4.6,0.00736827109643585,0.04,0.035446333172209375,0.02,CP
37,3,58,4.7,0.006591143095445125,0.04,0.03444539230693332,0.04,CP
38,3,60,4.85,0.006591143095445125,0.04,0.03444539230693332,0.02,CP
39,1,49,4.9,0.007474886020345584,0.02,0.042999653194205116,0.08,CP
40,3,62,5.1,0.006591143095445125,0.04,0.03444539230693332,0.02,CP
41,3,64,5.2,0.005813800238046565,0.04,0.03344417470660398,0.04,CP
42,3,66,5.35,0.006591143095445125,0.04,0.03444539230693332,0.02,CP
43,1,54,5.45,0.008474326837000876,0.02,0.04428693296605713,0.03,CP
44,1,56,5.55,0.008474326837000876,0.02,0.04428693296605713,0.05,CP
45,3,71,5.7,0.00503614283827415,0.04,0.032442551975697106,0.04,CP
46,3,73,5.8,0.005813800238046565,0.04,0.03344417470660398,0.06,CP
47,3,74,5.95,0.005813800238046565,0.04,0.03344417470660398,0.04,CP
48,3,76,6.05,0.006591143095445125,0.04,0.03444539230693332,0.06,CP
49,3,78,6.2,0.00736827109643585,0.04,0.035446333172209375,0.04,CP
50,1,61,6.3,0.008474326837000876,0.02,0.04428693296605713,0.05,CP
51,3,81,6.45,0.006591143095445125,0.04,0.03444539230693332,0.03,CP
52,1,64,6.55,0.008474326837000876,0.02,0.04428693296605713,0.05,CP
53,3,82,6.7,0.00736827109643585,0.04,0.035446333172209375,0.03,CP
54,3,83,6.8,0.006591143095445125,0.04,0.03444539230693332,0.06,CP
55,1,67,6.85,0.007474886020345584,0.02,0.042999653194205116,0.12,CP
56,1,69,7.05,0.005474568984370461,0.02,0.04042324485186916,0.05,CP
57,1,71,7.2,0.008474326837000876,0.02,0.04428693296605713,0.02,CP
58,3,86,7.3,0.006591143095445125,0.04,0.03444539230693332,0.06,CP
59,1,76,7.45,0.011471280820268848,0.02,0.04814700969650628,0.02,CP
60,1,78,7.55,0.011471280820268848,0.02,0.04814700969650628,0.04,CP
61,1,81,7.7,0.006475040792066765,0.02,0.041711852540182,0.02,CP
62,1,82,7.8,0.012469992195632867,0.02,0.04943334994797514,0.04,CP
63,1,85,7.95,0.010472458892172068,0.02,0.04686052705311763,0.02,CP
64,3,96,8.05,0.005813800238046565,0.04,0.03344417470660398,0.05,CP
65,3,98,8.15,0.006591143095445125,0.04,0.03444539230693332,0.08,CP
