TIMESLOT,Throughout,Failure,Failurerate,User,mecAge,Run,commTotal,commEnergy,reward
10.0,82,1,0.012195121951219513,10,203.82,7680.0,0.8386473604265886,46.95236311899443,646.7272497751879
15.0,122,1,0.00819672131147541,10,443.05,11570.0,1.736793162208226,61.80043805968772,965.8290773479634
20.0,163,1,0.006134969325153374,10,761.51,15410.0,3.067185467218801,74.97169122605682,1291.9849034226586
25.0,204,1,0.004901960784313725,10,1227.23,19160.0,4.881926354045857,86.44841594203686,1617.5160594594313
30.0,244,1,0.004098360655737705,10,1662.61,22760.0,6.6800215552476905,99.74962084693962,1934.181097148078
35.0,285,1,0.0035087719298245615,10,2070.01,26570.0,8.424824891262388,112.58641881806659,2259.5244562096827
40.0,326,1,0.003067484662576687,10,2490.34,30290.0,10.34056109505137,125.22248339318261,2583.6401094511803
45.0,366,1,0.00273224043715847,10,2921.63,33820.0,12.45997382947175,137.86534538389563,2898.1237757675412
50.0,407,1,0.002457002457002457,10,3288.94,37550.0,14.45606612553273,151.4647189030417,3221.6965596581763
55.0,448,1,0.002232142857142857,10,3907.01,40800.0,17.660358395272574,163.15508313737294,3537.0194477898604
60.0,488,1,0.0020491803278688526,10,4344.5,44280.0,20.112430582304043,174.88821084923367,3848.733629975267
65.0,529,1,0.001890359168241966,10,4917.45,47630.0,23.425400997717407,186.20633254274313,4163.924508987311
70.0,570,1,0.0017543859649122807,10,5279.4,51260.0,25.999997913889153,197.46171119078187,4484.482023291965
75.0,610,1,0.001639344262295082,10,6210.1,53950.0,31.521151349416815,208.7904784297228,4775.1323886170885
80.0,651,1,0.0015360983102918587,10,7304.23,56690.0,37.87668238138524,219.17221285912083,5068.739847374945
85.0,692,1,0.001445086705202312,10,8249.6,59530.0,43.76404832979756,229.71843894878623,5367.400871742887
90.0,732,1,0.001366120218579235,10,9128.77,62340.0,49.37564552710901,239.77247293685124,5658.284876640106
95.0,773,1,0.00129366106080207,10,10759.32,64530.0,59.19271526148407,244.42362951664657,5933.019166529548
100.0,814,1,0.0012285012285012285,10,12045.58,67280.0,66.78346140050637,250.12489917934982,6222.012975131976
105.0,854,1,0.00117096018735363,10,13410.5,69760.0,74.84193996704015,257.45640713799594,6501.148262118585
110.0,895,1,0.0011173184357541898,10,14649.87,72670.0,81.81725650134224,264.9761522661377,6794.607134926063
115.0,936,1,0.0010683760683760685,10,16033.43,75340.0,89.80802667645791,269.4045855083924,7080.8218650129365
120.0,976,1,0.0010245901639344263,10,17160.84,78290.0,96.01106441436636,274.9548551521676,7371.608880097803
125.0,1017,1,0.0009832841691248771,10,18233.03,81400.0,101.8040532880385,277.2024552725208,7673.224264251726
130.0,1058,1,0.000945179584120983,10,19483.25,84270.0,108.45694024435498,285.77217980424547,7968.387733424503
135.0,1098,1,0.0009107468123861566,10,20657.39,87230.0,114.57024372483895,296.44138192548047,8259.251139465992
140.0,1139,1,0.000877963125548727,10,21856.79,90280.0,120.66993540651313,308.6149865961292,8558.290966950497
