TIMESLOT,Throughout,Failure,Failurerate,User,mecAge,Run,commTotal,commEnergy,reward
10.0,81,1,0.012345679012345678,10,42.85,3480.0,0.6402725086715142,19.53746960536362,159.56193220813591
15.0,121,1,0.008264462809917356,10,153.07,5530.0,1.7541059999423958,26.93018989403578,239.26304492605806
20.0,161,1,0.006211180124223602,10,331.63,7780.0,3.5265044411969213,35.77708574289449,318.90412590221814
25.0,201,1,0.004975124378109453,10,593.83,9680.0,6.090706781173282,45.30132651629134,398.28966556418345
30.0,242,1,0.004132231404958678,10,881.75,11950.0,8.922816516846492,53.49646614994863,479.73424096065895
35.0,282,1,0.0035460992907801418,10,1295.35,13700.0,12.820219739950458,62.66437373240931,558.7761621444479
40.0,322,1,0.003105590062111801,10,1690.03,15750.0,16.406474695083542,72.09270366650007,638.0155398809698
45.0,362,1,0.0027624309392265192,10,2150.02,17700.0,20.549832326772712,81.41293310918064,717.1143731559538
50.0,402,1,0.0024875621890547263,10,2593.44,19850.0,24.57432527522376,89.31218148052015,796.3053845990571
55.0,442,1,0.0022624434389140274,10,3095.39,21950.0,29.186752533467416,98.40726532210572,875.3360525065074
60.0,483,1,0.002070393374741201,10,3802.43,23570.0,35.55395540409421,105.27556157335619,955.7548710837895
65.0,523,1,0.0019120458891013384,10,4353.28,25620.0,40.329960336173876,110.97766969355057,1034.7435144517651
70.0,563,1,0.0017761989342806395,10,4967.8,27370.0,45.52930725039308,116.71036590071044,1113.4655127525227
75.0,603,1,0.001658374792703151,10,5635.65,29120.0,51.142181795801555,125.76200835670079,1192.097194561556
80.0,643,1,0.0015552099533437014,10,6341.12,30670.0,56.98219533215676,134.51227353963276,1270.6224144146038
85.0,684,1,0.0014619883040935672,10,6920.39,32640.0,61.697591882216024,141.10415637005894,1351.5754781322412
90.0,724,1,0.0013812154696132596,10,7572.55,34490.0,66.83064126840938,147.98574458219693,1430.388529577551
95.0,764,1,0.0013089005235602095,10,8070.98,36790.0,70.88261432368877,158.06629186137374,1509.624129916492
100.0,804,1,0.0012437810945273632,10,8639.12,38740.0,75.73764490771029,166.50052215108354,1588.5458657581366
105.0,844,1,0.001184834123222749,10,9233.66,40640.0,80.8869985310977,174.37849244703946,1667.380373463536
110.0,884,1,0.0011312217194570137,10,9945.36,42340.0,86.8136156917519,182.6079269498416,1745.9429276436442
115.0,924,1,0.0010822510822510823,10,10641.99,44140.0,92.68855739670637,190.7353803764766,1824.5721144396962
120.0,965,1,0.0010362694300518134,10,11320.64,46060.0,98.28129259807291,200.2318185518888,1905.2968010840352
125.0,1005,1,0.0009950248756218905,10,11944.14,48010.0,103.50592330128838,209.63907095155022,1984.137703116615
130.0,1045,1,0.0009569377990430622,10,12600.66,49860.0,109.03356534176882,218.2436566072277,2062.87504737478
135.0,1085,1,0.0009216589861751152,10,13219.93,51910.0,114.23858824573777,226.34311847114733,2141.791369410166
140.0,1125,1,0.0008888888888888889,10,13942.07,53660.0,120.28900949958626,235.60449890743445,2220.367326917002
