TIMESLOT,Throughout,Failure,Failurerate,User,mecAge,Run,commTotal,commEnergy,reward
10.0,95,1,0.010526315789473684,10,4.67,8330.0,0.1875872308282265,5.123458288423242,563.4677790946636
15.0,142,1,0.007042253521126761,10,6.92,12330.0,0.2916418063386877,7.026377055558993,845.1366792098144
20.0,189,1,0.005291005291005291,10,8.83,16430.0,0.39183430479249665,9.609891108394462,1126.8391753402232
25.0,236,1,0.00423728813559322,10,14.35,20560.0,0.49895088982667146,12.099746381922143,1408.5679601816291
30.0,283,1,0.0035335689045936395,10,112.57,24890.0,1.006825160931221,23.551966310937132,1690.1268440021227
35.0,330,1,0.0030303030303030303,10,355.02,29160.0,2.321854649550893,38.22207474800251,1971.2516089971969
40.0,378,1,0.0026455026455026454,10,715.66,33410.0,4.265712598982552,49.885926720369135,2257.880288185489
45.0,425,1,0.002352941176470588,10,1172.74,37600.0,6.682263225080095,60.599067548153364,2538.2643250479546
50.0,472,1,0.00211864406779661,10,1694.18,41830.0,9.402015759772741,69.58076851726724,2818.471871516845
55.0,519,1,0.0019267822736030828,10,2311.56,45930.0,12.554881689346463,79.83555301973507,3098.300812752704
60.0,566,1,0.0017667844522968198,10,2892.29,50150.0,15.719922726260299,88.7713033375507,3378.219645059467
65.0,613,1,0.0016313213703099511,10,3724.59,53980.0,20.137064653149,98.26506344217748,3656.8819016956168
70.0,661,1,0.0015128593040847202,10,4640.37,57760.0,24.993000311964597,106.76865155272401,3940.911933121423
75.0,708,1,0.0014124293785310734,10,5586.22,61530.0,29.803716892138066,115.0153120265123,4219.035906828175
80.0,755,1,0.0013245033112582781,10,6349.09,65640.0,33.62819901957589,121.85333645347447,4498.307428905085
85.0,802,1,0.0012468827930174563,10,7262.01,69570.0,38.248033147251455,130.69297142967207,4776.7624294055
90.0,849,1,0.001177856301531213,10,8496.71,73200.0,44.30270347016703,138.3542306328577,5053.694248561041
95.0,896,1,0.0011160714285714285,10,9486.49,77210.0,49.04918695114716,146.576015827635,5332.040797583196
100.0,944,1,0.001059322033898305,10,10771.59,80980.0,55.0880335325864,155.57799160725597,5615.001006708097
105.0,991,1,0.0010090817356205853,10,12020.93,84740.0,60.8394155170697,163.362434094051,5892.31725073406
110.0,1038,1,0.0009633911368015414,10,13234.53,88470.0,66.45961918729869,172.04545663057334,6169.679804799743
115.0,1085,1,0.0009216589861751152,10,14252.13,92460.0,71.17425934159245,178.21995638800595,6448.194914504288
120.0,1132,1,0.0008833922261484099,10,15307.55,96440.0,76.10681014669015,186.3888330428628,6726.348591371315
125.0,1179,1,0.0008481764206955047,10,16757.32,99990.0,82.7323033909772,195.13308800364302,7002.787040851614
130.0,1226,1,0.0008156606851549756,10,18011.01,103830.0,88.35289126548486,203.83499212671504,7280.287811415155
135.0,1274,1,0.0007849293563579278,10,19164.26,107900.0,93.59387311319777,211.88781921283382,7564.367450709807
140.0,1321,1,0.000757002271006813,10,20615.96,111450.0,100.16378414658988,219.75138786522186,7840.797886322109
